parameter,bin_index,bin_left,bin_right,bin_center,exp_normalized_loglikelihood
param_1,90,0.6299999999999999,0.637,0.6335,-155234246.5587175
param_1,91,0.637,0.6439999999999999,0.6405,-159143191.5851765
param_1,92,0.6439999999999999,0.6509999999999999,0.6475,-19423764.39972588
param_1,93,0.6509999999999999,0.6579999999999999,0.6544999999999999,-10529790.45783752
param_1,94,0.6579999999999999,0.665,0.6615,-10107683.21826904
param_1,95,0.665,0.6719999999999999,0.6685,-27681959.44181516
param_1,96,0.6719999999999999,0.6789999999999999,0.6755,-355609.2858027876
param_1,97,0.6789999999999999,0.6859999999999999,0.6824999999999999,0.0
param_1,98,0.6859999999999999,0.693,0.6895,0.0
param_1,99,0.693,0.7,0.6964999999999999,0.0
param_2,0,0.0,0.006999999999999999,0.0034999999999999996,-245251505437.3103
param_2,1,0.006999999999999999,0.014,0.010499999999999999,-4010379986.544091
param_2,2,0.014,0.021,0.0175,-3893020613.833682
param_2,3,0.021,0.028,0.0245,-3349551604.23696
param_2,4,0.028,0.035,0.0315,-4268994296.714613
param_2,5,0.035,0.042,0.038500000000000006,-3637090511.246453
param_2,6,0.042,0.04899999999999999,0.0455,-3717575953.317074
param_2,7,0.04899999999999999,0.05599999999999999,0.05249999999999999,-3829209657.377347
param_2,8,0.05599999999999999,0.063,0.0595,-4109249436.515192
param_2,9,0.063,0.07,0.0665,-3428856996.988986
param_2,10,0.07,0.077,0.07350000000000001,-3634849831.759333
param_2,11,0.077,0.08399999999999999,0.08049999999999999,-3738620629.371935
param_2,12,0.08399999999999999,0.091,0.0875,-3593660573.728157
param_2,13,0.091,0.09799999999999999,0.0945,-3555897892.707717
param_2,14,0.09799999999999999,0.105,0.10149999999999999,-4067057345.412182
param_2,15,0.105,0.112,0.1085,-3995792472.458256
param_2,16,0.112,0.119,0.11549999999999999,-3471621937.889537
param_2,17,0.119,0.126,0.1225,-3829871061.656144
param_2,18,0.126,0.133,0.1295,-3860268724.071847
param_2,19,0.133,0.14,0.1365,-3244785803.923025
param_2,20,0.14,0.147,0.14350000000000002,-3698133978.067588
param_2,21,0.147,0.154,0.1505,-3753408036.741855
param_2,22,0.154,0.161,0.1575,-3607113839.531815
param_2,23,0.161,0.168,0.1645,-3793434924.565928
param_2,24,0.168,0.175,0.17149999999999999,-3267709179.24668
param_2,25,0.175,0.182,0.1785,-3076299113.297876
param_2,26,0.182,0.189,0.1855,-3542527103.252589
param_2,27,0.189,0.196,0.1925,-3281220036.476685
param_2,28,0.196,0.203,0.1995,-3787115975.270597
param_2,29,0.203,0.21,0.20650000000000002,-3555274082.539166
param_2,30,0.21,0.217,0.2135,-3625157837.136309
param_2,31,0.217,0.224,0.2205,-3463289814.303357
param_2,32,0.224,0.231,0.2275,-3250353542.023158
param_2,33,0.231,0.238,0.2345,-3856207784.698986
param_2,34,0.238,0.245,0.2415,-3434598181.782201
param_2,35,0.245,0.252,0.2485,-3167541545.247241
param_2,36,0.252,0.259,0.2555,-3327085168.565918
param_2,37,0.259,0.266,0.2625,-2839821342.558844
param_2,38,0.266,0.273,0.2695,-3306328237.718001
param_2,39,0.273,0.28,0.2765,-2929800179.161648
param_2,40,0.28,0.287,0.2835,-2982329438.615139
param_2,41,0.287,0.294,0.2905,-2627184440.113322
param_2,42,0.294,0.301,0.2975,-3046115650.258754
param_2,43,0.301,0.308,0.3045,-3114091944.366528
